"Location","Control Program","Name","Type","Offset / Polarity","Exp:Num","I/O Type"
"/Carleton College","OA Conditions accuweather","Forecast Day 3 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 3 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 3 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 3 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 3 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 3 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 4 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 5 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 6 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 7 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 8 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Avg Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Avg Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Cooling Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Daytime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Daytime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Heating Degree Day","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 High Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Low Temp","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Max Wind Degrees","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Max Wind Speed","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Nighttime PoP","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 Nighttime Precip","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 RealFeel High Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Forecast Day 9 RealFeel Low Temp" ,"BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Observation Timer","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Update Timer","BAV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Invalid Alarm","BBV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","Current Pressure Change","BMSV","" ,"" ,"" 
"/Carleton College","OA Conditions accuweather","DATA","BALM","" ,"" ,"" 

